"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2016","132.65","132.75","133.52","132.41","-","-0.05%"
"May 06, 2016","132.72","134.36","134.48","132.55","-","-1.27%"
"May 05, 2016","134.43","134.81","134.89","133.89","-","-0.34%"
"May 04, 2016","134.89","135.68","135.68","134.24","-","-0.69%"
"May 03, 2016","135.83","138.09","138.09","135.63","-","-1.62%"
"May 02, 2016","138.06","138.10","138.14","138.02","-","-0.15%"
"Apr 29, 2016","138.27","139.87","139.87","138.07","-","-1.17%"
"Apr 28, 2016","139.90","140.24","141.40","139.60","-","-0.24%"
"Apr 27, 2016","140.24","140.76","140.76","139.88","-","-0.36%"
"Apr 26, 2016","140.74","140.40","141.06","139.35","-","0.21%"
"Apr 25, 2016","140.45","141.21","141.25","140.32","-","-0.62%"
"Apr 22, 2016","141.32","142.16","142.19","140.77","-","-0.64%"
